Satellite,eccentricity,sqrt_a,Omega,i,omega,M,pseudorange,Doppler
g05,0.005608256207779,5153.761833191,-2.114257158223,0.9752226346458,1.317617693849,-0.6404089391914,20650637.6131993,495.3873289935330
g11,0.001702214358374,5153.626838684,-3.067863090663,0.9660627310876,-2.341239731129,-1.823698626219,24073971.9244397,3517.3363168598500
g12,0.009010251262225,5153.71818161,1.144028823495,0.9604349613084,1.486988598335,1.7819714408,22616146.2568017,3131.0540234883100
g18,0.004864738322794,5153.703933716,-3.094518896116,0.9742576807144,-2.942317912951,-2.997567733779,22544878.0155341,-2934.277242116120
g25,0.01236750488169,5153.649990082,1.054182644653,0.9486282293277,1.120653605984,1.649284633496,20862576.1519855,1259.1206776878100
g28,0.000308750430122,5153.572696686,-0.002006659859723,0.9619523760119,0.8994073835619,1.856905650934,24487803.0419036,-197.41779933943800
